Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0402_1005Metric",115.250000,-114.230000,90.000000,top
"C2","100n","C_0402_1005Metric",127.500000,-126.500000,-90.000000,top
"C3","100n","C_0402_1005Metric",130.250000,-114.250000,-90.000000,top
"C4","100n","C_0402_1005Metric",118.750000,-111.000000,0.000000,top
"C5","10u","C_0603_1608Metric",128.500000,-124.750000,0.000000,top
"C6","10n","C_0402_1005Metric",115.400000,-120.800000,90.000000,top
"C7","1u","C_0402_1005Metric",114.800000,-123.400000,180.000000,top
"C8","1u","C_0402_1005Metric",114.800000,-124.600000,180.000000,top
"C9","100n","C_0402_1005Metric",112.200000,-97.400000,180.000000,top
"C10","10p","C_0402_1005Metric",114.750000,-116.480000,90.000000,top
"C11","10p","C_0402_1005Metric",114.750000,-118.480000,-90.000000,top
"C12","22u","C_0805_2012Metric",92.950000,-136.650000,0.000000,top
"C13","22u","C_0805_2012Metric",97.000000,-136.650000,0.000000,top
"C16","100n","C_0402_1005Metric",119.750000,-126.000000,180.000000,top
"C17","4.7u","C_0603_1608Metric",126.225000,-127.025000,-90.000000,top
"D1","RED","LED_0603_1608Metric",95.600000,-133.950000,180.000000,top
"D2","SS34","D_SMA",71.000000,-134.250000,0.000000,top
"FB1","120R","L_0603_1608Metric",116.600000,-124.500000,90.000000,top
"J1","USB_B_Mini","USB_Mini-B_Wuerth_65100516121_Horizontal",138.725000,-118.750000,90.000000,top
"R1","10k","R_0402_1005Metric",122.000000,-107.000000,-90.000000,top
"R2","1k5","R_0402_1005Metric",132.000000,-115.500000,-90.000000,top
"R3","1k5","R_0402_1005Metric",120.800000,-106.500000,-90.000000,top
"R4","1k5","R_0402_1005Metric",98.000000,-134.050000,-90.000000,top
"R6","1k5","R_0402_1005Metric",119.000000,-107.000000,0.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",122.500000,-94.320000,180.000000,top
"U1","STM32F401RETx","LQFP-64_10x10mm_P0.5mm",122.725000,-118.550000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",95.000000,-142.250000,-90.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",112.150000,-117.480000,-90.000000,top
